timestamp	commit	line_cov_pct	region_cov_pct
2026-05-26T01:39:11+01:00	a7154567eff9	86.94	87.56
2026-05-26T09:12:28Z	f42f44522a40	86.54	87.45
2026-05-27T05:44:58Z	63ad5edd9b69	84.42	85.34
2026-06-14T23:40:41Z	ffc08a28d0bb	85.20	86.01
